confidence,hypo_step,max_arm_length,nThreads,exec_time_ms
34,2,8,2,20023.0
44,2,4,2,17638.0
44,1,11,4,17776.0
44,2,7,8,9076.0
64,1,10,6,18516.0
54,3,11,4,9171.0
44,2,7,8,9274.0
24,2,15,3,16308.0
54,1,6,8,10543.0
24,1,6,8,15028.0
54,1,2,8,8931.0
44,2,15,7,10361.0
54,3,2,7,4049.0
54,2,12,3,15892.0
14,2,10,3,14639.0
44,2,3,8,7153.0
64,1,13,2,36573.0
54,1,13,3,25095.0
24,2,5,8,8797.0
14,2,6,7,10281.0
34,1,11,8,14573.0
24,3,4,5,8533.0
24,3,11,8,7836.0
14,3,2,2,11113.0
44,1,7,5,15770.0
54,1,13,3,27210.0
44,3,6,8,4407.0
14,3,11,6,8482.0
24,2,1,7,6926.0
34,3,4,1,24835.0
24,2,4,7,5988.0
44,1,11,6,15097.0
64,3,3,3,9106.0
44,1,8,8,9750.0
24,1,12,5,16898.0
44,2,4,3,12855.0
64,2,4,5,8303.0
54,3,10,5,7850.0
54,2,11,6,8105.0
24,2,4,3,12209.0
44,2,8,1,39463.0
44,2,8,6,7915.0
14,3,13,5,8784.0
54,3,13,4,10073.0
44,2,6,7,9920.0
44,3,3,6,7021.0
44,2,6,5,9168.0
44,1,12,5,18009.0
34,2,14,5,10592.0
64,2,9,2,19538.0
14,1,3,2,30576.0
54,2,9,7,7661.0
34,1,2,3,20317.0
34,1,4,2,29990.0
64,2,11,5,11576.0
44,2,6,6,10202.0
64,3,15,4,10003.0
64,3,4,6,5159.0
64,2,4,6,6520.0
64,3,10,2,16843.0
34,1,16,4,20215.0
24,2,9,7,6875.0
24,1,11,3,24623.0
54,3,15,5,8854.0
24,2,12,8,9335.0
54,2,14,3,16744.0
64,3,3,8,6072.0
24,3,14,7,8437.0
14,2,15,7,7736.0
24,2,13,1,40224.0
24,3,4,4,7100.0
54,2,9,8,5971.0
14,2,8,2,20157.0
64,3,8,8,6857.0
14,2,15,1,39967.0
24,2,4,6,7180.0
14,2,13,2,20155.0
34,1,4,3,22019.0
64,3,5,2,13240.0
54,3,7,4,7753.0
54,3,2,5,6173.0
54,3,1,5,5801.0
54,1,14,5,17207.0
14,3,9,2,15031.0
64,3,9,4,8135.0
44,1,14,4,18249.0
34,2,12,1,41687.0
64,3,2,4,6967.0
24,1,5,5,14876.0
44,3,12,6,6985.0
24,2,8,3,14579.0
34,2,9,7,6911.0
44,2,6,3,12066.0
14,2,2,3,10830.0
54,1,2,4,14942.0
14,3,13,1,32074.0
24,1,15,1,69681.0
24,3,3,6,5043.0
24,2,11,8,6644.0
14,2,5,2,18236.0
24,2,11,8,6586.0
54,1,4,6,11428.0
44,2,10,6,7919.0
34,1,12,2,34846.0
54,1,3,8,8997.0
64,1,15,2,36890.0
44,2,13,2,22252.0
54,1,16,4,19716.0
44,1,15,2,36007.0
64,2,1,8,4936.0
34,3,1,1,20458.0
44,2,13,2,21996.0
44,2,3,3,11778.0
34,1,1,5,15739.0
54,2,11,8,10424.0
24,3,9,7,8044.0
64,1,5,4,19256.0
54,1,13,6,21278.0
44,3,16,4,10944.0
14,2,1,2,15005.0
