disk speed(8),Network depth(11),batch size(13),Real Iterations Number(15),CPU threads(19),overall execution time(31)
384,8,128,591,2,421.524636983872
384,8,128,611,2,420.490624189377
384,8,128,591,2,420.490624189377
384,8,128,611,2,422.288210391998
384,8,128,591,2,422.288210391998
384,9,128,611,2,422.572577476501
384,9,128,591,2,422.572577476501
384,9,128,611,2,423.288589954376
384,9,128,591,2,423.288589954376
384,9,128,611,2,423.222396850586
384,9,128,591,2,423.222396850586
384,10,128,611,2,423.158290863037
384,10,128,591,2,423.158290863037
384,10,128,611,2,423.832020998001
384,10,128,591,2,423.832020998001
384,10,128,611,2,423.265955924988
384,10,128,591,2,423.265955924988
384,1,64,1221,2,417.207546710968
384,1,64,1201,2,417.207546710968
384,1,64,1221,2,416.782940864563
384,1,64,1201,2,416.782940864563
384,1,64,1221,2,417.856892585754
384,1,64,1201,2,417.856892585754
384,2,64,1221,2,418.337096452713
384,2,64,1201,2,418.337096452713
384,2,64,1221,2,417.419806718826
384,2,64,1201,2,417.419806718826
384,2,64,1221,2,416.968091487885
384,2,64,1201,2,416.968091487885
384,3,64,1221,2,419.006765842438
384,3,64,1201,2,419.006765842438
384,3,64,1221,2,418.035502672195
384,3,64,1201,2,418.035502672195
384,3,64,1221,2,417.191635370255
384,3,64,1201,2,417.191635370255
384,4,64,1221,2,417.10660815239
384,4,64,1201,2,417.10660815239
384,4,64,1221,2,418.183925390244
384,4,64,1201,2,418.183925390244
384,4,64,1221,2,418.530735969543
384,4,64,1201,2,418.530735969543
384,5,64,1221,2,417.997803688049
384,5,64,1201,2,417.997803688049
384,5,64,1221,2,417.595713615417
384,5,64,1201,2,417.595713615417
384,5,64,1221,2,418.03719997406
384,5,64,1201,2,418.03719997406
384,6,64,1221,2,418.848440408707
384,6,64,1201,2,418.848440408707
384,6,64,1221,2,417.879293441773
384,6,64,1201,2,417.879293441773
384,6,64,1221,2,418.165249586105
384,6,64,1201,2,418.165249586105
384,7,64,1221,2,418.284332990646
384,7,64,1201,2,418.284332990646
384,7,64,1221,2,418.119912147522
384,7,64,1201,2,418.119912147522
384,7,64,1221,2,417.967186450958
384,7,64,1201,2,417.967186450958
384,8,64,1221,2,418.719149112701
384,8,64,1201,2,418.719149112701
384,8,64,1221,2,418.458705186844
384,8,64,1201,2,418.458705186844
384,8,64,1221,2,418.857269525528
384,8,64,1201,2,418.857269525528
384,9,64,1221,2,419.673802852631
384,9,64,1201,2,419.673802852631
384,9,64,1221,2,419.584777355194
384,9,64,1201,2,419.584777355194
384,9,64,1221,2,420.493688344955
384,9,64,1201,2,420.493688344955
384,10,64,1221,2,420.200739622116
384,10,64,1201,2,420.200739622116
384,10,64,1221,2,419.504937171936
384,10,64,1201,2,419.504937171936
384,10,64,1221,2,419.312791347504
384,10,64,1201,2,419.312791347504
384,1,512,161,4,262.05693602562
384,1,512,141,4,262.05693602562
384,1,512,161,4,262.775760173798
384,1,512,141,4,262.775760173798
384,1,512,161,4,262.508197784424
384,1,512,141,4,262.508197784424
384,2,512,161,4,265.074553966522
384,2,512,141,4,265.074553966522
384,2,512,161,4,264.90367937088
384,2,512,141,4,264.90367937088
384,2,512,161,4,263.40997004509
384,2,512,141,4,263.40997004509
384,3,512,161,4,269.883653402328
384,3,512,141,4,269.883653402328
384,3,512,161,4,268.668465614319
384,3,512,141,4,268.668465614319
384,3,512,161,4,268.726342439651
384,3,512,141,4,268.726342439651
384,4,512,161,4,272.71871638298
384,4,512,141,4,272.71871638298
384,4,512,161,4,272.293215274811
384,4,512,141,4,272.293215274811
384,4,512,161,4,271.047587633133
384,4,512,141,4,271.047587633133
384,5,512,161,4,274.423430204392
384,5,512,141,4,274.423430204392
384,5,512,161,4,275.127196073532
384,5,512,141,4,275.127196073532
384,5,512,161,4,273.795992136002
384,5,512,141,4,273.795992136002
384,6,512,161,4,275.41330075264
384,6,512,141,4,275.41330075264
384,6,512,161,4,275.98247385025
384,6,512,141,4,275.98247385025
384,6,512,161,4,276.194935321808
384,6,512,141,4,276.194935321808
384,7,512,161,4,277.232457876205
384,7,512,141,4,277.232457876205
384,7,512,161,4,279.000273227692
384,7,512,141,4,279.000273227692
384,7,512,161,4,280.636773586273
384,7,512,141,4,280.636773586273
384,8,512,161,4,279.745156526566
384,8,512,141,4,279.745156526566
384,8,512,161,4,282.847373485565
384,8,512,141,4,282.847373485565
384,8,512,161,4,280.949606180191
384,8,512,141,4,280.949606180191
384,9,512,161,4,283.109895706177
384,9,512,141,4,283.109895706177
384,9,512,161,4,283.149083375931
384,9,512,141,4,283.149083375931
384,9,512,161,4,284.452162265778
384,9,512,141,4,284.452162265778
384,10,512,161,4,286.052400588989
384,10,512,141,4,286.052400588989
384,10,512,161,4,286.395108699799
384,10,512,141,4,286.395108699799
384,10,512,161,4,286.000888586044
384,10,512,141,4,286.000888586044
384,1,256,311,4,250.981538772583
384,1,256,291,4,250.981538772583
384,1,256,311,4,249.473562717438
384,1,256,291,4,249.473562717438
384,1,256,311,4,249.243688344955
384,1,256,291,4,249.243688344955
384,2,256,311,4,249.649580478668
384,2,256,291,4,249.649580478668
384,2,256,311,4,251.172852993011
384,2,256,291,4,251.172852993011
384,2,256,311,4,249.08652806282
384,2,256,291,4,249.08652806282
384,3,256,311,4,251.019518852234
384,3,256,291,4,251.019518852234
384,3,256,311,4,251.199116945267
384,3,256,291,4,251.199116945267
384,3,256,311,4,251.062396764755
384,3,256,291,4,251.062396764755
384,4,256,311,4,251.958153009415
384,4,256,291,4,251.958153009415
384,4,256,311,4,252.534436941147
384,4,256,291,4,252.534436941147
384,4,256,311,4,251.438598871231
384,4,256,291,4,251.438598871231
384,5,256,311,4,253.159321308136
384,5,256,291,4,253.159321308136
384,5,256,311,4,252.581519126892
384,5,256,291,4,252.581519126892
384,5,256,311,4,255.450560331345
384,5,256,291,4,255.450560331345
384,6,256,311,4,255.693146467209
384,6,256,291,4,255.693146467209
384,6,256,311,4,254.77077960968
384,6,256,291,4,254.77077960968
384,6,256,311,4,256.134077310562
384,6,256,291,4,256.134077310562
384,7,256,311,4,257.671815395355
384,7,256,291,4,257.671815395355
384,7,256,311,4,256.983444690704
384,7,256,291,4,256.983444690704
384,7,256,311,4,255.59260892868
384,7,256,291,4,255.59260892868
384,8,256,311,4,259.287410020828
384,8,256,291,4,259.287410020828
384,8,256,311,4,257.64116859436
384,8,256,291,4,257.64116859436
384,8,256,311,4,259.279112815857
384,8,256,291,4,259.279112815857
384,9,256,311,4,262.856966495514
384,9,256,291,4,262.856966495514
384,9,256,311,4,261.134467840195
384,9,256,291,4,261.134467840195
384,9,256,311,4,261.632213354111
384,9,256,291,4,261.632213354111
384,10,256,311,4,262.081956624985
384,10,256,291,4,262.081956624985
384,10,256,311,4,261.582194089889
384,10,256,291,4,261.582194089889
384,10,256,311,4,261.395260810852
384,10,256,291,4,261.395260810852
384,1,128,611,4,230.584497213364
384,1,128,591,4,230.584497213364
384,1,128,611,4,229.751287937164
384,1,128,591,4,229.751287937164
384,1,128,611,4,229.89061498642
384,1,128,591,4,229.89061498642
384,2,128,611,4,229.750996351242
384,2,128,591,4,229.750996351242
384,2,128,611,4,229.514683008194
384,2,128,591,4,229.514683008194
384,2,128,611,4,230.039766788483
384,2,128,591,4,230.039766788483
384,3,128,611,4,230.708622455597
384,3,128,591,4,230.708622455597
384,3,128,611,4,230.222673416138
384,3,128,591,4,230.222673416138
384,3,128,611,4,228.968804836273
384,3,128,591,4,228.968804836273
384,4,128,611,4,230.311136245728
384,4,128,591,4,230.311136245728
384,4,128,611,4,230.22635602951
384,4,128,591,4,230.22635602951
384,4,128,611,4,230.067643642426
384,4,128,591,4,230.067643642426
384,5,128,611,4,231.066595315933
384,5,128,591,4,231.066595315933
384,5,128,611,4,230.60867524147
384,5,128,591,4,230.60867524147
384,5,128,611,4,230.369687080383
384,5,128,591,4,230.369687080383
384,6,128,611,4,231.062419176102
384,6,128,591,4,231.062419176102
384,6,128,611,4,231.591295719147
384,6,128,591,4,231.591295719147
384,6,128,611,4,231.372193813324
384,6,128,591,4,231.372193813324
384,7,128,611,4,232.42361831665
384,7,128,591,4,232.42361831665
384,7,128,611,4,231.296548366547
384,7,128,591,4,231.296548366547
384,7,128,611,4,231.223239660263
384,7,128,591,4,231.223239660263
384,8,128,611,4,231.874070882797
384,8,128,591,4,231.874070882797
384,8,128,611,4,232.48171544075
384,8,128,591,4,232.48171544075
384,8,128,611,4,233.283135652542
384,8,128,591,4,233.283135652542
384,9,128,611,4,233.093329906464
384,9,128,591,4,233.093329906464
384,9,128,611,4,235.054625272751
384,9,128,591,4,235.054625272751
384,9,128,611,4,234.194967031479
384,9,128,591,4,234.194967031479
384,10,128,611,4,235.046950340271
384,10,128,591,4,235.046950340271
384,10,128,611,4,234.472407817841
384,10,128,591,4,234.472407817841
384,10,128,611,4,235.649230003357
384,10,128,591,4,235.649230003357
384,1,64,1221,4,221.67264509201
384,1,64,1201,4,221.67264509201
384,1,64,1221,4,221.509994745254
384,1,64,1201,4,221.509994745254
384,1,64,1221,4,220.684702634811
384,1,64,1201,4,220.684702634811
384,2,64,1221,4,221.060204267502
384,2,64,1201,4,221.060204267502
384,2,64,1221,4,221.776962995529
384,2,64,1201,4,221.776962995529
384,2,64,1221,4,221.263163566589
384,2,64,1201,4,221.263163566589
384,3,64,1221,4,222.156425952911
384,3,64,1201,4,222.156425952911
384,3,64,1221,4,221.497017621994
384,3,64,1201,4,221.497017621994
384,3,64,1221,4,220.809021711349
384,3,64,1201,4,220.809021711349
384,4,64,1221,4,220.757886409759
384,4,64,1201,4,220.757886409759
384,4,64,1221,4,221.430068016052
384,4,64,1201,4,221.430068016052
384,4,64,1221,4,221.982719421387
384,4,64,1201,4,221.982719421387
384,5,64,1221,4,221.421026706696
384,5,64,1201,4,221.421026706696
384,5,64,1221,4,222.219717741013
384,5,64,1201,4,222.219717741013
384,5,64,1221,4,221.905890226364
384,5,64,1201,4,221.905890226364
384,6,64,1221,4,221.882516145706
384,6,64,1201,4,221.882516145706
384,6,64,1221,4,222.502043247223
384,6,64,1201,4,222.502043247223
384,6,64,1221,4,221.945625305176
384,6,64,1201,4,221.945625305176
384,7,64,1221,4,223.27014040947
384,7,64,1201,4,223.27014040947
384,7,64,1221,4,221.838837623596
384,7,64,1201,4,221.838837623596
384,7,64,1221,4,222.3734562397
384,7,64,1201,4,222.3734562397
384,8,64,1221,4,222.969504594803
384,8,64,1201,4,222.969504594803
384,8,64,1221,4,223.603504657745
384,8,64,1201,4,223.603504657745
384,8,64,1221,4,222.817863464355
384,8,64,1201,4,222.817863464355
384,9,64,1221,4,223.744992733002
384,9,64,1201,4,223.744992733002
384,9,64,1221,4,223.680368900299
384,9,64,1201,4,223.680368900299
384,9,64,1221,4,223.248484611511
384,9,64,1201,4,223.248484611511
384,10,64,1221,4,224.502443790436
384,10,64,1201,4,224.502443790436
384,10,64,1221,4,224.095245599747
384,10,64,1201,4,224.095245599747
384,10,64,1221,4,224.053734540939
384,10,64,1201,4,224.053734540939
384,1,512,161,6,212.498607158661
384,1,512,141,6,212.498607158661
384,1,512,161,6,211.106763124466
384,1,512,141,6,211.106763124466
384,1,512,161,6,214.083508014679
384,1,512,141,6,214.083508014679
384,2,512,161,6,214.914098739624
384,2,512,141,6,214.914098739624
384,2,512,161,6,215.620744943619
384,2,512,141,6,215.620744943619
384,2,512,161,6,218.187900304794
384,2,512,141,6,218.187900304794
384,3,512,161,6,219.026813983917
384,3,512,141,6,219.026813983917
384,3,512,161,6,220.169340848923
384,3,512,141,6,220.169340848923
384,3,512,161,6,218.72468662262
384,3,512,141,6,218.72468662262
384,4,512,161,6,223.126273155212
384,4,512,141,6,223.126273155212
384,4,512,161,6,224.313484430313
384,4,512,141,6,224.313484430313
384,4,512,161,6,224.011456251144
384,4,512,141,6,224.011456251144
384,5,512,161,6,226.561030864716
384,5,512,141,6,226.561030864716
384,5,512,161,6,224.003063678741
384,5,512,141,6,224.003063678741
384,5,512,161,6,226.171886920929
384,5,512,141,6,226.171886920929
384,6,512,161,6,228.921996355057
384,6,512,141,6,228.921996355057
384,6,512,161,6,227.856253862381
384,6,512,141,6,227.856253862381
384,6,512,161,6,226.83602976799
384,6,512,141,6,226.83602976799
384,7,512,161,6,233.129579544067
384,7,512,141,6,233.129579544067
384,7,512,161,6,229.936767339706
384,7,512,141,6,229.936767339706
384,7,512,161,6,230.955871343613
384,7,512,141,6,230.955871343613
384,8,512,161,6,232.16824221611
384,8,512,141,6,232.16824221611
384,8,512,161,6,233.162485837936
384,8,512,141,6,233.162485837936
384,8,512,161,6,236.103933095932
384,8,512,141,6,236.103933095932
384,9,512,161,6,238.504961013794
384,9,512,141,6,238.504961013794
384,9,512,161,6,238.616803884506
384,9,512,141,6,238.616803884506
384,9,512,161,6,237.501711606979
384,9,512,141,6,237.501711606979
384,10,512,161,6,239.605632781982
384,10,512,141,6,239.605632781982
384,10,512,161,6,240.687213659286
384,10,512,141,6,240.687213659286
384,10,512,161,6,240.304848194122
384,10,512,141,6,240.304848194122
384,1,256,311,6,188.075803995132
384,1,256,291,6,188.075803995132
384,1,256,311,6,188.57383108139
384,1,256,291,6,188.57383108139
384,1,256,311,6,187.533328294754
384,1,256,291,6,187.533328294754
384,2,256,311,6,189.262540102005
384,2,256,291,6,189.262540102005
384,2,256,311,6,189.302873849869
384,2,256,291,6,189.302873849869
384,2,256,311,6,189.276190042496
384,2,256,291,6,189.276190042496
384,3,256,311,6,192.167736291885
384,3,256,291,6,192.167736291885
384,3,256,311,6,193.031682014465
384,3,256,291,6,193.031682014465
384,3,256,311,6,190.584204912186
384,3,256,291,6,190.584204912186
384,4,256,311,6,194.395073890686
384,4,256,291,6,194.395073890686
384,4,256,311,6,194.850790023804
384,4,256,291,6,194.850790023804
384,4,256,311,6,194.877539634705
384,4,256,291,6,194.877539634705
384,5,256,311,6,196.51315331459
384,5,256,291,6,196.51315331459
384,5,256,311,6,196.334114551544
384,5,256,291,6,196.334114551544
384,5,256,311,6,197.840719223022
384,5,256,291,6,197.840719223022
384,6,256,311,6,198.683265447617
384,6,256,291,6,198.683265447617
384,6,256,311,6,200.09592628479
384,6,256,291,6,200.09592628479
384,6,256,311,6,199.451790809631
384,6,256,291,6,199.451790809631
384,7,256,311,6,202.023262262344
384,7,256,291,6,202.023262262344
384,7,256,311,6,204.627876996994
384,7,256,291,6,204.627876996994
384,7,256,311,6,202.31686425209
384,7,256,291,6,202.31686425209
384,8,256,311,6,206.016763925552
384,8,256,291,6,206.016763925552
384,8,256,311,6,206.255872249603
384,8,256,291,6,206.255872249603
384,8,256,311,6,207.194310903549
384,8,256,291,6,207.194310903549
384,9,256,311,6,210.764065504074
384,9,256,291,6,210.764065504074
384,9,256,311,6,212.018830776215
384,9,256,291,6,212.018830776215
384,9,256,311,6,210.519405603409
384,9,256,291,6,210.519405603409
384,10,256,311,6,214.030523061752
384,10,256,291,6,214.030523061752
384,10,256,311,6,214.707700014114
384,10,256,291,6,214.707700014114
384,10,256,311,6,214.523868560791
384,10,256,291,6,214.523868560791
384,1,128,611,6,169.42770075798
384,1,128,591,6,169.42770075798
384,1,128,611,6,169.97816991806
384,1,128,591,6,169.97816991806
384,1,128,611,6,170.106810092926
384,1,128,591,6,170.106810092926
384,2,128,611,6,171.10254740715
384,2,128,591,6,171.10254740715
384,2,128,611,6,171.318099737167
384,2,128,591,6,171.318099737167
384,2,128,611,6,170.397767543793
384,2,128,591,6,170.397767543793
384,3,128,611,6,172.160875797272
384,3,128,591,6,172.160875797272
384,3,128,611,6,172.62164068222
384,3,128,591,6,172.62164068222
384,3,128,611,6,173.140110731125
384,3,128,591,6,173.140110731125
384,4,128,611,6,173.17532658577
384,4,128,591,6,173.17532658577
384,4,128,611,6,172.980026245117
384,4,128,591,6,172.980026245117
384,4,128,611,6,172.045323848724
384,4,128,591,6,172.045323848724
384,5,128,611,6,175.675412893295
384,5,128,591,6,175.675412893295
384,5,128,611,6,175.170104265213
384,5,128,591,6,175.170104265213
384,5,128,611,6,174.677994728088
384,5,128,591,6,174.677994728088
384,6,128,611,6,176.73410320282
384,6,128,591,6,176.73410320282
384,6,128,611,6,176.975590705872
384,6,128,591,6,176.975590705872
384,6,128,611,6,176.896607637405
384,6,128,591,6,176.896607637405
384,7,128,611,6,179.768106460571
384,7,128,591,6,179.768106460571
384,7,128,611,6,180.145274162292
384,7,128,591,6,180.145274162292
384,7,128,611,6,178.912533760071
384,7,128,591,6,178.912533760071
384,8,128,611,6,182.369860887527
384,8,128,591,6,182.369860887527
384,8,128,611,6,183.216017246246
384,8,128,591,6,183.216017246246
384,8,128,611,6,182.447098493576
384,8,128,591,6,182.447098493576
384,9,128,611,6,184.69646692276
384,9,128,591,6,184.69646692276
384,9,128,611,6,185.059045314789
384,9,128,591,6,185.059045314789
384,9,128,611,6,185.558075666428
384,9,128,591,6,185.558075666428
384,10,128,611,6,188.922086000443
384,10,128,591,6,188.922086000443
384,10,128,611,6,189.05050110817
384,10,128,591,6,189.05050110817
384,10,128,611,6,188.259138584137
384,10,128,591,6,188.259138584137
384,1,64,1221,6,161.495274066925
384,1,64,1201,6,161.495274066925
384,1,64,1221,6,161.133051633835
384,1,64,1201,6,161.133051633835
384,1,64,1221,6,160.827850103378
384,1,64,1201,6,160.827850103378
384,2,64,1221,6,162.301338672638
384,2,64,1201,6,162.301338672638
384,2,64,1221,6,161.523413419723
384,2,64,1201,6,161.523413419723
384,2,64,1221,6,162.475906133652
384,2,64,1201,6,162.475906133652
384,3,64,1221,6,163.908014297485
384,3,64,1201,6,163.908014297485
384,3,64,1221,6,163.288524627686
384,3,64,1201,6,163.288524627686
384,3,64,1221,6,163.653016805649
384,3,64,1201,6,163.653016805649
384,4,64,1221,6,165.297028779984
384,4,64,1201,6,165.297028779984
384,4,64,1221,6,164.592325210571
384,4,64,1201,6,164.592325210571
384,4,64,1221,6,165.125159025192
384,4,64,1201,6,165.125159025192
384,5,64,1221,6,166.17406463623
384,5,64,1201,6,166.17406463623
384,5,64,1221,6,166.145672082901
384,5,64,1201,6,166.145672082901
384,5,64,1221,6,166.066031217575
384,5,64,1201,6,166.066031217575
384,6,64,1221,6,168.376389980316
384,6,64,1201,6,168.376389980316
384,6,64,1221,6,168.224561929703
384,6,64,1201,6,168.224561929703
384,6,64,1221,6,168.252936601639
384,6,64,1201,6,168.252936601639
384,7,64,1221,6,169.463465929031
384,7,64,1201,6,169.463465929031
384,7,64,1221,6,169.950136899948
384,7,64,1201,6,169.950136899948
384,7,64,1221,6,170.491003513336
384,7,64,1201,6,170.491003513336
384,8,64,1221,6,173.222687244415
384,8,64,1201,6,173.222687244415
384,8,64,1221,6,173.014263868332
384,8,64,1201,6,173.014263868332
384,8,64,1221,6,173.063935995102
384,8,64,1201,6,173.063935995102
384,9,64,1221,6,176.789126634598
384,9,64,1201,6,176.789126634598
384,9,64,1221,6,176.105312585831
384,9,64,1201,6,176.105312585831
384,9,64,1221,6,176.844753503799
384,9,64,1201,6,176.844753503799
384,10,64,1221,6,180.481466293335
384,10,64,1201,6,180.481466293335
384,10,64,1221,6,179.772651672363
384,10,64,1201,6,179.772651672363
384,10,64,1221,6,179.803540468216
384,10,64,1201,6,179.803540468216
