Network depth(11),batch size(13),Real Iterations Number(15),CPU threads(19),overall execution time(31)
1,64,1221,2,414.227697610855
1,64,1201,2,414.227697610855
1,64,1221,4,218.622457504272
1,64,1201,4,218.622457504272
1,128,611,2,412.762094497681
1,128,591,2,412.762094497681
1,128,611,4,226.690939188004
1,128,591,4,226.690939188004
1,256,311,2,425.628675222397
1,256,291,2,425.628675222397
1,256,311,4,245.557049751282
1,256,291,4,245.557049751282
1,512,161,2,442.85692858696
1,512,141,2,442.85692858696
1,512,161,4,254.718119859695
1,512,141,4,254.718119859695
2,64,1221,2,411.903553724289
2,64,1201,2,411.903553724289
2,64,1221,4,218.577416419983
2,64,1201,4,218.577416419983
2,128,611,2,413.198522567749
2,128,591,2,413.198522567749
2,128,611,4,226.73247385025
2,128,591,4,226.73247385025
2,256,311,2,426.427639007568
2,256,291,2,426.427639007568
2,256,311,4,243.616730690002
2,256,291,4,243.616730690002
2,512,161,2,442.741385221481
2,512,141,2,442.741385221481
2,512,161,4,254.145699739456
2,512,141,4,254.145699739456
3,64,1221,2,411.830693006516
3,64,1201,2,411.830693006516
3,64,1221,4,219.039047718048
3,64,1201,4,219.039047718048
3,128,611,2,413.259972572327
3,128,591,2,413.259972572327
3,128,611,4,227.500677347183
3,128,591,4,227.500677347183
3,256,311,2,426.89471077919
3,256,291,2,426.89471077919
3,256,311,4,247.487287044525
3,256,291,4,247.487287044525
3,512,161,2,444.266881465912
3,512,141,2,444.266881465912
3,512,161,4,257.522101640701
3,512,141,4,257.522101640701
4,64,1221,2,411.621876239777
4,64,1201,2,411.621876239777
4,64,1221,4,218.764038324356
4,64,1201,4,218.764038324356
4,128,611,2,414.968533039093
4,128,591,2,414.968533039093
4,128,611,4,227.896555900574
4,128,591,4,227.896555900574
4,256,311,2,425.372841596603
4,256,291,2,425.372841596603
4,256,311,4,245.687521219254
4,256,291,4,245.687521219254
4,512,161,2,444.513015985489
4,512,141,2,444.513015985489
4,512,161,4,256.946978569031
4,512,141,4,256.946978569031
5,64,1221,2,410.623475074768
5,64,1201,2,410.623475074768
5,64,1221,4,219.755255460739
5,64,1201,4,219.755255460739
5,128,611,2,413.637226343155
5,128,591,2,413.637226343155
5,128,611,4,228.643878221512
5,128,591,4,228.643878221512
5,256,311,2,427.109563589096
5,256,291,2,427.109563589096
5,256,311,4,244.961830377579
5,256,291,4,244.961830377579
5,512,161,2,447.808529615402
5,512,141,2,447.808529615402
5,512,161,4,258.309834957123
5,512,141,4,258.309834957123
6,64,1221,2,412.231705665588
6,64,1201,2,412.231705665588
6,64,1221,4,219.778104066849
6,64,1201,4,219.778104066849
6,128,611,2,413.62184047699
6,128,591,2,413.62184047699
6,128,611,4,229.037158250809
6,128,591,4,229.037158250809
6,256,311,2,426.14435172081
6,256,291,2,426.14435172081
6,256,311,4,247.044040441513
6,256,291,4,247.044040441513
6,512,161,2,445.542105674744
6,512,141,2,445.542105674744
6,512,161,4,260.908963441849
6,512,141,4,260.908963441849
7,64,1221,2,412.79408454895
7,64,1201,2,412.79408454895
7,64,1221,4,220.276478290558
7,64,1201,4,220.276478290558
7,128,611,2,415.51082277298
7,128,591,2,415.51082277298
7,128,611,4,228.991859912872
7,128,591,4,228.991859912872
7,256,311,2,429.825187683105
7,256,291,2,429.825187683105
7,256,311,4,248.863958835602
7,256,291,4,248.863958835602
7,512,161,2,445.933550357819
7,512,141,2,445.933550357819
7,512,161,4,261.809050321579
7,512,141,4,261.809050321579
8,64,1221,2,414.684136867523
8,64,1201,2,414.684136867523
8,64,1221,4,220.65895652771
8,64,1201,4,220.65895652771
8,128,611,2,416.856146097183
8,128,591,2,416.856146097183
8,128,611,4,230.186538934708
8,128,591,4,230.186538934708
8,256,311,2,429.506240367889
8,256,291,2,429.506240367889
8,256,311,4,249.208741188049
8,256,291,4,249.208741188049
8,512,161,2,450.635066509247
8,512,141,2,450.635066509247
8,512,161,4,261.127380132675
8,512,141,4,261.127380132675
9,64,1221,2,412.951247215271
9,64,1201,2,412.951247215271
9,64,1221,4,220.472465276718
9,64,1201,4,220.472465276718
9,128,611,2,413.997601509094
9,128,591,2,413.997601509094
9,128,611,4,228.831079483032
9,128,591,4,228.831079483032
9,256,311,2,427.774362325668
9,256,291,2,427.774362325668
9,256,311,4,249.18558382988
9,256,291,4,249.18558382988
9,512,161,2,446.094568967819
9,512,141,2,446.094568967819
9,512,161,4,261.782871484756
9,512,141,4,261.782871484756
10,64,1221,2,413.005611896515
10,64,1201,2,413.005611896515
10,64,1221,4,222.906612157822
10,64,1201,4,222.906612157822
10,128,611,2,416.47837471962
10,128,591,2,416.47837471962
10,128,611,4,230.184753417969
10,128,591,4,230.184753417969
10,256,311,2,429.059156179428
10,256,291,2,429.059156179428
10,256,311,4,251.657723665237
10,256,291,4,251.657723665237
10,512,161,2,448.271803617477
10,512,141,2,448.271803617477
10,512,161,4,264.344793558121
10,512,141,4,264.344793558121
