starting timestamp(0),starting time(1),tensorflow version(2),system_UUID(3),mac_address(4),vm_instance(5),GPU type(6),GFlops(7),disk speed(8),GPU number(9),Network Type(10),Network depth(11),classes(12),batch size(13),Iterations Fraction(14),Real Iterations Number(15),Computed Iterations Number(16),Skipped Iterations Number(17),epochs(18),CPU threads(19),profile(20),CPUs usage(21),Average CPU usage(22),GPUs usage(23),Average GPU Usage(24),usage ratio(25),data_only(26),data time(27),training time(28),test time(29),overall execution time(30),missing time(31),repetition number(32),path(33)
1540750752,2018-10-28 18:19:12,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,600,NaN,4,1,508,513,0,2,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1430.782629,NaN,1451.21002793312,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_600_ep_2_bs_4/2018-10-28_18-19-10/0
1540750752,2018-10-28 18:19:12,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,600,NaN,4,0.75,381,384.75,0,1.5,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,970.253589999999,NaN,NaN,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_600_ep_2_bs_4/2018-10-28_18-19-10/0
1540752219,2018-10-28 18:43:39,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,800,NaN,4,0.25,127,128.25,0,0.5,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,255.969055,NaN,NaN,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_800_ep_2_bs_4/2018-10-28_18-43-38/0
1540752219,2018-10-28 18:43:39,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,800,NaN,4,1,508,513,0,2,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1483.535175,NaN,1504.72292351723,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_800_ep_2_bs_4/2018-10-28_18-43-38/0
1540752219,2018-10-28 18:43:39,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,800,NaN,4,0.5,254,256.5,0,1,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,724.866778,NaN,NaN,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_800_ep_2_bs_4/2018-10-28_18-43-38/0
1540752219,2018-10-28 18:43:39,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,800,NaN,4,0.75,381,384.75,0,1.5,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1008.414547,NaN,NaN,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_800_ep_2_bs_4/2018-10-28_18-43-38/0
1540753741,2018-10-28 19:09:01,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,200,NaN,8,1,254,257,0,2,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1302.630309,NaN,1321.93523740768,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_200_ep_2_bs_8/2018-10-28_19-08-59/0
1540753741,2018-10-28 19:09:01,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,200,NaN,8,0.5,127,128.5,0,1,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,641.911559,NaN,NaN,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_200_ep_2_bs_8/2018-10-28_19-08-59/0
1540753741,2018-10-28 19:09:01,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,200,NaN,8,0.25,64,64.25,0,0.5,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,233.700359,NaN,NaN,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_200_ep_2_bs_8/2018-10-28_19-08-59/0
1540753741,2018-10-28 19:09:01,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,200,NaN,8,0.75,190,192.75,0,1.5,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,892.124875,NaN,NaN,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_200_ep_2_bs_8/2018-10-28_19-08-59/0
1540755081,2018-10-28 19:31:21,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,400,NaN,8,1,254,257,0,2,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1308.383385,NaN,1328.03494429588,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_400_ep_2_bs_8/2018-10-28_19-31-20/0
1540755081,2018-10-28 19:31:21,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,400,NaN,8,0.75,190,192.75,0,1.5,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,895.325529,NaN,NaN,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_400_ep_2_bs_8/2018-10-28_19-31-20/0
1540755081,2018-10-28 19:31:21,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,400,NaN,8,0.25,64,64.25,0,0.5,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,234.352494,NaN,NaN,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_400_ep_2_bs_8/2018-10-28_19-31-20/0
1540755081,2018-10-28 19:31:21,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,400,NaN,8,0.5,127,128.5,0,1,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,643.967586,NaN,NaN,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_400_ep_2_bs_8/2018-10-28_19-31-20/0
1540756426,2018-10-28 19:53:46,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,600,NaN,8,0.25,64,64.25,0,0.5,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,240.897522,NaN,NaN,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_600_ep_2_bs_8/2018-10-28_19-53-44/0
1540756426,2018-10-28 19:53:46,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,600,NaN,8,1,254,257,0,2,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1341.005231,NaN,1361.02193164825,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_600_ep_2_bs_8/2018-10-28_19-53-44/0
1540756426,2018-10-28 19:53:46,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,600,NaN,8,0.75,190,192.75,0,1.5,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,916.781764,NaN,NaN,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_600_ep_2_bs_8/2018-10-28_19-53-44/0
1540756426,2018-10-28 19:53:46,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,600,NaN,8,0.5,127,128.5,0,1,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,660.067384,NaN,NaN,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_600_ep_2_bs_8/2018-10-28_19-53-44/0
1540757805,2018-10-28 20:16:45,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,800,NaN,8,0.25,64,64.25,0,0.5,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,234.409731,NaN,NaN,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_800_ep_2_bs_8/2018-10-28_20-16-44/0
1540757805,2018-10-28 20:16:45,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,800,NaN,8,1,254,257,0,2,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1358.528945,NaN,1380.16289949417,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_800_ep_2_bs_8/2018-10-28_20-16-44/0
1540757805,2018-10-28 20:16:45,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,800,NaN,8,0.75,190,192.75,0,1.5,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,924.48909,NaN,NaN,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_800_ep_2_bs_8/2018-10-28_20-16-44/0
