run,applicationCompletionTime,nTask_S0,maxTask_S0,avgTask_S0,SHmax_S0,SHavg_S0,Bmax_S0,Bavg_S0,nTask_S1,maxTask_S1,avgTask_S1,SHmax_S1,SHavg_S1,Bmax_S1,Bavg_S1,nTask_S10,maxTask_S10,avgTask_S10,SHmax_S10,SHavg_S10,Bmax_S10,Bavg_S10,nTask_S11,maxTask_S11,avgTask_S11,SHmax_S11,SHavg_S11,Bmax_S11,Bavg_S11,nTask_S12,maxTask_S12,avgTask_S12,SHmax_S12,SHavg_S12,Bmax_S12,Bavg_S12,nTask_S13,maxTask_S13,avgTask_S13,SHmax_S13,SHavg_S13,Bmax_S13,Bavg_S13,nTask_S14,maxTask_S14,avgTask_S14,SHmax_S14,SHavg_S14,Bmax_S14,Bavg_S14,nTask_S2,maxTask_S2,avgTask_S2,SHmax_S2,SHavg_S2,Bmax_S2,Bavg_S2,nTask_S3,maxTask_S3,avgTask_S3,SHmax_S3,SHavg_S3,Bmax_S3,Bavg_S3,nTask_S4,maxTask_S4,avgTask_S4,SHmax_S4,SHavg_S4,Bmax_S4,Bavg_S4,nTask_S5,maxTask_S5,avgTask_S5,SHmax_S5,SHavg_S5,Bmax_S5,Bavg_S5,nTask_S6,maxTask_S6,avgTask_S6,SHmax_S6,SHavg_S6,Bmax_S6,Bavg_S6,nTask_S7,maxTask_S7,avgTask_S7,SHmax_S7,SHavg_S7,Bmax_S7,Bavg_S7,nTask_S8,maxTask_S8,avgTask_S8,SHmax_S8,SHavg_S8,Bmax_S8,Bavg_S8,nTask_S9,maxTask_S9,avgTask_S9,SHmax_S9,SHavg_S9,Bmax_S9,Bavg_S9,users,dataSize,nContainers
application_1524838829941_0385,240511,1,1609,1609.0,0,0.0,0,0.0,292,10940,6764.986301369863,0,0.0,0,0.0,292,239,106.50342465753424,496972,243348.3219178082,2242,2236.4417808219173,292,310,8.657534246575342,0,0.0,0,0.0,292,182,105.55479452054794,1034386,254955.5684931507,2242,2236.54794520548,292,185,6.359589041095893,0,0.0,0,0.0,292,565,100.5958904109589,0,0.0,0,0.0,292,10601,7902.863013698629,0,0.0,0,0.0,292,90,31.849315068493148,0,0.0,0,0.0,292,381,135.82191780821918,0,0.0,0,0.0,292,110,48.16780821917809,0,0.0,0,0.0,292,852,252.69520547945208,0,0.0,0,0.0,292,524,49.79794520547945,0,0.0,0,0.0,292,1133,489.1095890410959,6635924,669133.8698630136,802,801.9828767123288,292,501,41.458904109589035,0,0.0,0,0.0,1,20,48
application_1524838829941_0459,240814,1,1607,1607.0,0,0.0,0,0.0,292,11543,6829.390410958904,0,0.0,0,0.0,292,267,113.63356164383562,495511,246218.0376712329,2242,2236.4417808219173,292,380,9.071917808219178,0,0.0,0,0.0,292,191,102.64726027397259,570981,253279.9315068493,2242,2236.54794520548,292,340,7.058219178082192,0,0.0,0,0.0,292,156,96.83219178082192,0,0.0,0,0.0,292,11136,7948.041095890411,0,0.0,0,0.0,292,88,33.19178082191781,0,0.0,0,0.0,292,405,136.19863013698628,0,0.0,0,0.0,292,84,47.25,0,0.0,0,0.0,292,383,250.12328767123287,0,0.0,0,0.0,292,170,48.98972602739726,0,0.0,0,0.0,292,1042,492.2054794520548,4974886,647769.9520547945,802,801.9828767123288,292,516,41.11643835616439,0,0.0,0,0.0,1,20,48
application_1524838829941_0461,240864,1,1830,1830.0,0,0.0,0,0.0,292,11732,6726.876712328767,0,0.0,0,0.0,292,257,117.73972602739723,621423,261935.9383561644,2242,2236.4417808219173,292,279,8.928082191780822,0,0.0,0,0.0,292,202,115.18493150684931,673415,277945.91780821915,2242,2236.54794520548,292,251,7.123287671232878,0,0.0,0,0.0,292,162,101.31849315068493,0,0.0,0,0.0,292,11413,7957.585616438356,0,0.0,0,0.0,292,79,32.417808219178085,0,0.0,0,0.0,292,737,140.2602739726027,0,0.0,0,0.0,292,140,47.87671232876714,0,0.0,0,0.0,292,379,237.1541095890411,0,0.0,0,0.0,292,93,46.630136986301366,0,0.0,0,0.0,292,969,461.9760273972603,4953593,614365.8390410959,802,801.9828767123288,292,594,44.26027397260274,0,0.0,0,0.0,1,20,48
application_1524838829941_0383,243954,1,1843,1843.0,0,0.0,0,0.0,292,11843,6822.671232876713,0,0.0,0,0.0,292,377,111.84931506849315,493241,237296.8390410959,2242,2236.4417808219173,292,270,9.256849315068491,0,0.0,0,0.0,292,160,102.34931506849315,642260,252967.051369863,2242,2236.54794520548,292,207,6.671232876712327,0,0.0,0,0.0,292,198,98.48287671232876,0,0.0,0,0.0,292,11404,7951.558219178082,0,0.0,0,0.0,292,94,33.589041095890416,0,0.0,0,0.0,292,619,143.26369863013701,0,0.0,0,0.0,292,112,51.33904109589041,0,0.0,0,0.0,292,469,260.1301369863013,0,0.0,0,0.0,292,607,51.80821917808219,0,0.0,0,0.0,292,897,460.6130136986301,10297130,654683.7260273972,802,801.9828767123288,292,551,42.00684931506849,0,0.0,0,0.0,1,20,48
application_1524838829941_0640,276117,1,1716,1716.0,0,0.0,0,0.0,219,9273,6000.698630136986,0,0.0,0,0.0,219,157,93.95433789954338,424520,230775.7077625571,2242,2236.4657534246576,219,153,5.232876712328767,0,0.0,0,0.0,219,130,90.55707762557077,376538,226827.1872146119,2242,2236.5981735159817,219,135,3.9771689497716896,0,0.0,0,0.0,219,133,87.12785388127855,0,0.0,0,0.0,219,8573,7063.8401826484005,0,0.0,0,0.0,219,72,26.79908675799087,0,0.0,0,0.0,219,860,115.22831050228314,0,0.0,0,0.0,219,75,37.41095890410959,0,0.0,0,0.0,219,272,184.34246575342462,0,0.0,0,0.0,219,59,39.93607305936073,0,0.0,0,0.0,219,748,391.4931506849315,4194052,475203.6803652968,708,707.4657534246576,219,310,24.684931506849317,0,0.0,0,0.0,1,15,26
application_1524838829941_0636,273993,1,1602,1602.0,0,0.0,0,0.0,219,9050,5972.4611872146115,0,0.0,0,0.0,219,199,94.18721461187216,460166,218241.59817351602,2242,2236.4657534246576,219,166,5.191780821917809,0,0.0,0,0.0,219,151,92.52054794520548,711062,228272.5205479452,2242,2236.5981735159817,219,160,3.9908675799086764,0,0.0,0,0.0,219,140,88.15068493150685,0,0.0,0,0.0,219,9209,6906.356164383562,0,0.0,0,0.0,219,75,27.30593607305936,0,0.0,0,0.0,219,344,110.0091324200913,0,0.0,0,0.0,219,76,38.35616438356164,0,0.0,0,0.0,219,262,187.87214611872147,0,0.0,0,0.0,219,95,42.342465753424655,0,0.0,0,0.0,219,782,389.4383561643836,5687079,492388.5753424658,708,707.4657534246576,219,298,26.01826484018265,0,0.0,0,0.0,1,15,26
application_1524838829941_0772,272885,1,1668,1668.0,0,0.0,0,0.0,219,9383,6016.8493150684935,0,0.0,0,0.0,219,159,93.28767123287672,405724,220318.13698630137,2242,2236.4657534246576,219,154,5.219178082191782,0,0.0,0,0.0,219,115,89.63013698630138,325883,222438.53424657532,2242,2236.5981735159817,219,174,4.187214611872147,0,0.0,0,0.0,219,139,88.42922374429224,0,0.0,0,0.0,219,8753,6869.634703196346,0,0.0,0,0.0,219,68,26.49315068493151,0,0.0,0,0.0,219,255,112.11415525114157,0,0.0,0,0.0,219,58,38.48858447488585,0,0.0,0,0.0,219,237,184.00913242009133,0,0.0,0,0.0,219,57,40.757990867579906,0,0.0,0,0.0,219,828,388.86757990867585,7615292,499723.2465753425,708,707.4657534246576,219,301,25.80821917808219,0,0.0,0,0.0,1,15,26
application_1524838829941_0770,275318,1,1705,1705.0,0,0.0,0,0.0,219,9609,5987.753424657534,0,0.0,0,0.0,219,777,98.78082191780823,939935,228136.4063926941,2242,2236.4657534246576,219,196,5.360730593607307,0,0.0,0,0.0,219,120,90.53424657534245,329698,221875.70319634702,2242,2236.5981735159817,219,144,4.123287671232877,0,0.0,0,0.0,219,111,86.89497716894975,0,0.0,0,0.0,219,8972,6907.337899543379,0,0.0,0,0.0,219,62,26.817351598173516,0,0.0,0,0.0,219,354,112.5296803652968,0,0.0,0,0.0,219,80,38.360730593607315,0,0.0,0,0.0,219,334,188.92694063926945,0,0.0,0,0.0,219,56,40.56164383561644,0,0.0,0,0.0,219,746,387.92237442922374,4306064,478413.94977168954,708,707.4657534246576,219,294,25.689497716894973,0,0.0,0,0.0,1,15,26
application_1524838829941_0774,272617,1,1749,1749.0,0,0.0,0,0.0,219,9370,5913.319634703196,0,0.0,0,0.0,219,223,94.56164383561644,465844,223226.22831050228,2242,2236.4657534246576,219,131,5.251141552511416,0,0.0,0,0.0,219,126,89.26940639269405,323756,221875.3196347032,2242,2236.5981735159817,219,156,3.9954337899543377,0,0.0,0,0.0,219,130,87.02739726027397,0,0.0,0,0.0,219,8714,6864.433789954338,0,0.0,0,0.0,219,65,26.15525114155251,0,0.0,0,0.0,219,246,107.44748858447487,0,0.0,0,0.0,219,69,37.84018264840183,0,0.0,0,0.0,219,258,182.2100456621005,0,0.0,0,0.0,219,56,39.972602739726035,0,0.0,0,0.0,219,731,385.73059360730593,3725496,468710.03196347033,708,707.4657534246576,219,303,25.39269406392694,0,0.0,0,0.0,1,15,26
application_1524838829941_0638,278604,1,1651,1651.0,0,0.0,0,0.0,219,9462,5990.977168949772,0,0.0,0,0.0,219,177,94.0091324200913,426980,219910.8127853881,2242,2236.4657534246576,219,145,5.155251141552512,0,0.0,0,0.0,219,274,93.0958904109589,1482551,231203.61643835614,2242,2236.5981735159817,219,159,4.091324200913242,0,0.0,0,0.0,219,145,87.67123287671231,0,0.0,0,0.0,219,8965,6885.438356164384,0,0.0,0,0.0,219,79,28.315068493150694,0,0.0,0,0.0,219,328,117.662100456621,0,0.0,0,0.0,219,95,39.835616438356155,0,0.0,0,0.0,219,244,184.25114155251146,0,0.0,0,0.0,219,81,42.59360730593608,0,0.0,0,0.0,219,726,388.06849315068496,3534491,480825.200913242,708,707.4657534246576,219,332,26.56164383561644,0,0.0,0,0.0,1,15,26
