SplitLayer,1stInfTime,2ndInfTime,oscarJobTime,kubePodTime,tensorSaveTime,tensorLoadTime,tensorLength,networkingTime,singleLayerInfTime,OpType,NrParameters,NrNodes,Memory,MACs,SingleLayerSum-Splitted,singleLayerInfTimeProf
sequential-mobilenetv2_1.00_160-block_16_expand_BN-FusedBatchNormV3_0,0.631287,0.172486889874563,1.11,4,0.005141197999819,0.001377939013764,384000,0.129837157000111,0.0107,Conv,9600,2,4646400,3801600,0.000506110125437,0.003398
sequential-mobilenetv2_1.00_160-block_16_depthwise_BN-FusedBatchNormV3_0,0.646267,0.131933129159734,0.924,4,0.005689678999943,0.001449699047953,384000,0.14007902100002,0.014354,Conv,307520,2,4814080,123097600,0.026079870840267,0
sequential-mobilenetv2_1.00_160-block_16_project_BN-FusedBatchNormV3_0,0.652895,0.061245996039361,0.978,4,0.002568519000079,0.000558984931558,128000,0.123463475000108,0.014738,Conv,409600,1,4198400,164096000,0.090139003960639,0.013878
sequential-mobilenetv2_1.00_160-Conv_1-Conv2D_0,0.674699,0.008797600166872,0.829,4,0.006675919000145,0.00178030715324,512000,0.13936135300014,0.019094,Conv,5120,1,4116480,0,0.120783399833128,0.004858
sequential-mobilenetv2_1.00_160-bn_Conv1-FusedBatchNormV3_0,0.023321,0.765436128014699,1.709,5,0.049411874000043,0.012673794990406,3276800,0.260583619000045,0.021148,Conv,320,2,39322880,32440320,0.006924871985301,0
sequential-mobilenetv2_1.00_160-expanded_conv_depthwise_BN-FusedBatchNormV3_0,0.060941,1.05500047304668,1.932,5,0.058359547999999,0.012534216977656,3276800,0.242665992999946,0.042537,Conv,528,2,32770112,54558720,-0.320259473046675,0.017482
sequential-mobilenetv2_1.00_160-expanded_conv_project_BN-FusedBatchNormV3_0,0.073274,0.756315783131868,1.609,5,0.026812047000021,0.005935085937381,1638400,0.184010249999801,0.018647,Conv,1536,1,45881344,162201600,-0.033907783131868,0
sequential-mobilenetv2_1.00_160-block_1_expand-Conv2D_0,0.083544,0.382808859925717,1.507,5,0.134667944000057,0.036357882199809,9830400,0.640332285000113,0.022722,Conv,384,1,78644736,0,0.329329140074283,0.035595
sequential-mobilenetv2_1.00_160-block_1_expand_BN-FusedBatchNormV3_0,0.099028,0.94317408115603,2.085,5,0.145963101999996,0.037669887999073,9830400,0.625695934000078,0.021017,BatchNormalization,0,2,118953984,3932160,-0.246520081156031,0.011191
sequential-mobilenetv2_1.00_160-block_1_pad-Pad_0,0.12147,0.82905431301333,2.059,5,0.149169690000008,0.04173991503194,10077696,0.621401270999968,0.046056,Pad,960,1,50145024,23347200,-0.15484231301333,0
sequential-mobilenetv2_1.00_160-block_1_depthwise_BN-FusedBatchNormV3_0,0.163817,0.881133018992841,1.861,4,0.050182269000061,0.009493154939264,2457600,0.220096037999838,0.055658,Conv,2328,2,22127712,60272640,-0.249268018992841,0
sequential-mobilenetv2_1.00_160-block_1_project_BN-FusedBatchNormV3_0,0.178062,0.467043309938163,1.296,4,0.012875478999831,0.002293664962053,614400,0.149328021999963,0.015057,Conv,8952,7,81136608,217374720,0.150576690061837,0.022327
sequential-mobilenetv2_1.00_160-block_2_add-add_0,0.238441,0.480283309007064,1.325,5,0.010164056999884,0.002372554969043,614400,0.148472916000173,0.063609,Add,3600,1,17217600,90316800,0.076957690992936,0.023415
sequential-mobilenetv2_1.00_160-block_3_expand_BN-FusedBatchNormV3_0,0.249965,0.564069367013872,1.505,4,0.052271417999918,0.014054397121072,3686400,0.265454846000011,0.012343,Conv,0,2,44983296,1474560,-0.018352367013872,0
sequential-mobilenetv2_1.00_160-block_3_pad-Pad_0,0.257293,0.568010180955753,1.533,5,0.059347923999894,0.014423076063395,3873024,0.268011096000009,0.014327,Pad,1440,1,19184256,8755200,-0.029621180955753,0.053375
sequential-mobilenetv2_1.00_160-block_3_depthwise_BN-FusedBatchNormV3_0,0.281899,0.566719388822094,1.336,5,0.019935920999842,0.003206348977983,921600,0.164033252000081,0.026161,Conv,4640,2,8210560,29962240,-0.052936388822094,0.008986
sequential-mobilenetv2_1.00_160-block_3_project_BN-FusedBatchNormV3_0,0.282183,0.575851923087612,1.382,5,0.004401052000048,0.00077969301492,204800,0.141198836000058,0.00523,Conv,15008,7,27093632,92119040,-0.062352923087612,0
sequential-mobilenetv2_1.00_160-block_4_add-add_0,0.30495,0.378721670946106,1.191,4,0.003380861000096,0.000861170934513,204800,0.141978897999934,0.022613,Add,14432,6,22176128,92119040,0.112010329053893,0
sequential-mobilenetv2_1.00_160-block_5_add-add_0,0.330813,0.472443008096889,1.357,5,0.003401980999797,0.000771102961153,204800,0.138308914999925,0.02247,Add,6336,1,5759744,39936000,-0.007574008096889,0.008782
sequential-mobilenetv2_1.00_160-block_6_expand_BN-FusedBatchNormV3_0,0.335787,0.268462967826053,1.122,4,0.018013650000057,0.004922517109662,1228800,0.170681911999964,0.009229,Conv,0,2,15249408,491520,0.191432032173946,0
sequential-mobilenetv2_1.00_160-block_6_pad-Pad_0,0.340628,0.198489643167704,1.088,4,0.019900367999981,0.00508388178423,1354752,0.181681421999883,0.007184,Pad,1920,1,6655488,2918400,0.256564356832295,0.036811
