run,applicationCompletionTime,applicationDeltaBeforeComputing,jobCompletionTime_J0,jobCompletionTime_J1,jobCompletionTime_J10,jobCompletionTime_J11,jobCompletionTime_J2,jobCompletionTime_J3,jobCompletionTime_J4,jobCompletionTime_J5,jobCompletionTime_J6,jobCompletionTime_J7,jobCompletionTime_J8,jobCompletionTime_J9,nTask_S0,maxTask_S0,avgTask_S0,SHmax_S0,SHavg_S0,Bmax_S0,Bavg_S0,nTask_S1,maxTask_S1,avgTask_S1,SHmax_S1,SHavg_S1,Bmax_S1,Bavg_S1,nTask_S10,maxTask_S10,avgTask_S10,SHmax_S10,SHavg_S10,Bmax_S10,Bavg_S10,nTask_S11,maxTask_S11,avgTask_S11,SHmax_S11,SHavg_S11,Bmax_S11,Bavg_S11,nTask_S12,maxTask_S12,avgTask_S12,SHmax_S12,SHavg_S12,Bmax_S12,Bavg_S12,nTask_S13,maxTask_S13,avgTask_S13,SHmax_S13,SHavg_S13,Bmax_S13,Bavg_S13,nTask_S14,maxTask_S14,avgTask_S14,SHmax_S14,SHavg_S14,Bmax_S14,Bavg_S14,nTask_S2,maxTask_S2,avgTask_S2,SHmax_S2,SHavg_S2,Bmax_S2,Bavg_S2,nTask_S3,maxTask_S3,avgTask_S3,SHmax_S3,SHavg_S3,Bmax_S3,Bavg_S3,nTask_S4,maxTask_S4,avgTask_S4,SHmax_S4,SHavg_S4,Bmax_S4,Bavg_S4,nTask_S5,maxTask_S5,avgTask_S5,SHmax_S5,SHavg_S5,Bmax_S5,Bavg_S5,nTask_S6,maxTask_S6,avgTask_S6,SHmax_S6,SHavg_S6,Bmax_S6,Bavg_S6,nTask_S7,maxTask_S7,avgTask_S7,SHmax_S7,SHavg_S7,Bmax_S7,Bavg_S7,nTask_S8,maxTask_S8,avgTask_S8,SHmax_S8,SHavg_S8,Bmax_S8,Bavg_S8,nTask_S9,maxTask_S9,avgTask_S9,SHmax_S9,SHavg_S9,Bmax_S9,Bavg_S9,users,dataSize,nContainers
application_1524838829941_0569,415538,20068,3154,163414,2986,3020,190605,1090,3276,1374,6824,1446,12620,3082,1,1907,1907.0,0,0.0,0,0.0,292,9413,5948.623287671233,0,0.0,0,0.0,292,172,90.91095890410959,605329,212987.86643835617,2242,2236.4417808219177,292,200,3.7157534246575343,0,0.0,0,0.0,292,116,87.89041095890411,323521,215578.94178082192,2242,2236.5479452054797,292,171,3.078767123287671,0,0.0,0,0.0,292,147,86.77054794520548,0,0.0,0,0.0,292,8659,7049.530821917808,0,0.0,0,0.0,292,71,25.445205479452056,0,0.0,0,0.0,292,263,103.59931506849315,0,0.0,0,0.0,292,57,36.76027397260274,0,0.0,0,0.0,292,312,220.6335616438356,0,0.0,0,0.0,292,81,39.99315068493151,0,0.0,0,0.0,292,824,419.9691780821918,3510432,421235.2705479452,802,801.9828767123288,292,345,22.931506849315067,0,0.0,0,0.0,1,36,22
application_1524838829941_0567,413430,21334,2776,163476,3000,2608,187292,1147,3354,1317,7036,1401,12766,3235,1,1584,1584.0,0,0.0,0,0.0,292,10349,5952.318493150685,0,0.0,0,0.0,292,218,92.06164383561644,377620,216582.76712328766,2242,2236.4417808219177,292,194,3.585616438356164,0,0.0,0,0.0,292,130,88.81164383561644,583340,216766.37671232875,2242,2236.5479452054797,292,140,2.9075342465753424,0,0.0,0,0.0,292,141,86.3458904109589,0,0.0,0,0.0,292,8575,6906.068493150685,0,0.0,0,0.0,292,70,26.044520547945204,0,0.0,0,0.0,292,236,106.12671232876713,0,0.0,0,0.0,292,51,37.06506849315068,0,0.0,0,0.0,292,1168,222.5376712328767,0,0.0,0,0.0,292,82,40.705479452054796,0,0.0,0,0.0,292,744,419.59589041095893,3492002,418988.6780821918,802,801.9828767123288,292,493,27.0,0,0.0,0,0.0,1,36,22
application_1524838829941_0822,203000,24138,2669,73845,1679,1268,83289,647,1749,697,2386,677,5519,1819,1,1682,1682.0,0,0.0,0,0.0,219,10212,6496.022831050228,0,0.0,0,0.0,219,236,114.52511415525115,543893,269626.70319634705,2242,2236.4657534246576,219,276,7.589041095890411,0,0.0,0,0.0,219,159,106.33333333333333,952303,260977.55251141553,2242,2236.5981735159817,219,176,6.876712328767123,0,0.0,0,0.0,219,159,99.84018264840182,0,0.0,0,0.0,219,10207,7605.2054794520545,0,0.0,0,0.0,219,74,30.315068493150687,0,0.0,0,0.0,219,350,131.3972602739726,0,0.0,0,0.0,219,83,42.63013698630137,0,0.0,0,0.0,219,395,196.99543378995435,0,0.0,0,0.0,219,61,43.65296803652968,0,0.0,0,0.0,219,867,423.9269406392694,5521359,683937.2785388128,708,707.4657534246576,219,449,39.49771689497717,0,0.0,0,0.0,1,27,42
application_1524838829941_0684,201070,23843,2823,73023,1620,1208,81914,608,1807,750,2442,694,5832,1847,1,1585,1585.0,0,0.0,0,0.0,219,10396,6436.429223744292,0,0.0,0,0.0,219,235,112.88127853881278,2177173,254978.41552511416,2242,2236.4657534246576,219,250,7.497716894977169,0,0.0,0,0.0,219,196,102.12785388127854,344271,235982.13698630137,2242,2236.5981735159817,219,217,6.968036529680365,0,0.0,0,0.0,219,168,94.32420091324201,0,0.0,0,0.0,219,9905,7413.1278538812785,0,0.0,0,0.0,219,75,30.30593607305936,0,0.0,0,0.0,219,353,128.7123287671233,0,0.0,0,0.0,219,79,42.945205479452056,0,0.0,0,0.0,219,631,203.0456621004566,0,0.0,0,0.0,219,73,42.71689497716895,0,0.0,0,0.0,219,882,429.93607305936075,5417477,662158.0776255708,708,707.4657534246576,219,403,40.04109589041096,0,0.0,0,0.0,1,27,42
application_1524838829941_0818,201048,23232,2846,73831,1438,1472,82305,622,1657,776,2353,649,5472,1692,1,1610,1610.0,0,0.0,0,0.0,219,10810,6464.607305936073,0,0.0,0,0.0,219,221,107.7351598173516,443053,241539.3698630137,2242,2236.4657534246576,219,266,7.232876712328767,0,0.0,0,0.0,219,152,97.21461187214612,501565,229602.81735159818,2242,2236.5981735159817,219,167,6.926940639269406,0,0.0,0,0.0,219,561,101.43835616438356,0,0.0,0,0.0,219,9640,7434.178082191781,0,0.0,0,0.0,219,93,30.378995433789953,0,0.0,0,0.0,219,356,128.15981735159818,0,0.0,0,0.0,219,129,44.694063926940636,0,0.0,0,0.0,219,332,195.75342465753425,0,0.0,0,0.0,219,73,43.50228310502283,0,0.0,0,0.0,219,950,413.9771689497717,4944182,642264.5205479452,708,707.4657534246576,219,430,38.29223744292238,0,0.0,0,0.0,1,27,42
application_1524838829941_0688,203328,23633,2666,75370,1497,1251,82796,650,1987,722,2397,678,5332,1621,1,1574,1574.0,0,0.0,0,0.0,219,10712,6521.251141552511,0,0.0,0,0.0,219,222,106.41095890410959,425289,235262.70319634702,2242,2236.4657534246576,219,148,6.45662100456621,0,0.0,0,0.0,219,147,97.22831050228311,572198,243478.94977168948,2242,2236.5981735159817,219,167,6.876712328767123,0,0.0,0,0.0,219,203,94.4931506849315,0,0.0,0,0.0,219,9604,7485.223744292238,0,0.0,0,0.0,219,85,30.616438356164384,0,0.0,0,0.0,219,337,131.08675799086757,0,0.0,0,0.0,219,86,43.51598173515982,0,0.0,0,0.0,219,320,196.94520547945206,0,0.0,0,0.0,219,65,44.210045662100455,0,0.0,0,0.0,219,835,410.0091324200913,4738853,627411.2100456621,708,707.4657534246576,219,416,39.182648401826484,0,0.0,0,0.0,1,27,42
application_1524838829941_0820,201801,23866,2890,73611,1451,1130,82308,683,1773,786,2393,658,5331,2065,1,1634,1634.0,0,0.0,0,0.0,219,10182,6443.543378995434,0,0.0,0,0.0,219,222,107.14155251141553,841504,248065.39726027398,2242,2236.4657534246576,219,249,7.19634703196347,0,0.0,0,0.0,219,149,95.76255707762557,1336871,239508.06392694064,2242,2236.5981735159817,219,176,6.616438356164384,0,0.0,0,0.0,219,151,92.5662100456621,0,0.0,0,0.0,219,9938,7473.662100456621,0,0.0,0,0.0,219,80,30.98173515981735,0,0.0,0,0.0,219,380,132.42922374429224,0,0.0,0,0.0,219,76,42.721461187214615,0,0.0,0,0.0,219,321,196.2420091324201,0,0.0,0,0.0,219,100,42.97260273972603,0,0.0,0,0.0,219,894,409.689497716895,4943927,622205.4246575342,708,707.4657534246576,219,386,38.03196347031963,0,0.0,0,0.0,1,27,42
application_1524838829941_0686,202637,24550,2788,73204,1518,1223,83370,622,1723,708,2373,722,5775,1546,1,1770,1770.0,0,0.0,0,0.0,219,10156,6396.292237442923,0,0.0,0,0.0,219,213,103.662100456621,845659,239068.63470319635,2242,2236.4657534246576,219,170,6.762557077625571,0,0.0,0,0.0,219,161,98.25114155251141,621954,238522.70319634702,2242,2236.5981735159817,219,165,6.438356164383562,0,0.0,0,0.0,219,158,94.08219178082192,0,0.0,0,0.0,219,9994,7502.876712328767,0,0.0,0,0.0,219,79,30.17351598173516,0,0.0,0,0.0,219,345,132.00913242009133,0,0.0,0,0.0,219,97,43.63926940639269,0,0.0,0,0.0,219,327,197.37899543378995,0,0.0,0,0.0,219,80,43.757990867579906,0,0.0,0,0.0,219,1331,412.689497716895,5563447,661067.2191780822,708,707.4657534246576,219,397,37.25570776255708,0,0.0,0,0.0,1,27,42
application_1524838829941_0931,165287,23567,2745,58167,1273,1256,64956,545,1430,627,1996,557,4144,1290,1,1709,1709.0,0,0.0,0,0.0,146,9606,6138.904109589041,0,0.0,0,0.0,146,222,103.68493150684931,446557,223614.2876712329,2243,2236.3561643835615,146,126,6.205479452054795,0,0.0,0,0.0,146,137,96.65068493150685,359652,229973.66438356164,2242,2236.5890410958905,146,210,6.109589041095891,0,0.0,0,0.0,146,127,93.34246575342466,0,0.0,0,0.0,146,9690,7230.445205479452,0,0.0,0,0.0,146,74,30.965753424657535,0,0.0,0,0.0,146,374,131.6164383561644,0,0.0,0,0.0,146,73,41.863013698630134,0,0.0,0,0.0,146,314,195.05479452054794,0,0.0,0,0.0,146,58,42.35616438356164,0,0.0,0,0.0,146,779,389.1575342465753,4448930,669902.6506849315,662,661.972602739726,146,344,36.85616438356164,0,0.0,0,0.0,1,18,34
application_1524838829941_1063,163123,22720,2716,57909,1295,951,64066,520,1368,1061,1867,578,4298,1238,1,1718,1718.0,0,0.0,0,0.0,146,9431,6137.890410958904,0,0.0,0,0.0,146,198,101.81506849315069,375457,237187.61643835617,2243,2236.3561643835615,146,120,5.945205479452055,0,0.0,0,0.0,146,151,95.18493150684931,385319,246834.24657534246,2242,2236.5890410958905,146,181,5.97945205479452,0,0.0,0,0.0,146,144,90.85616438356165,0,0.0,0,0.0,146,8715,7095.041095890411,0,0.0,0,0.0,146,66,29.335616438356166,0,0.0,0,0.0,146,315,125.65753424657534,0,0.0,0,0.0,146,70,42.21917808219178,0,0.0,0,0.0,146,271,189.1917808219178,0,0.0,0,0.0,146,73,43.082191780821915,0,0.0,0,0.0,146,711,387.527397260274,3890212,650704.2808219178,662,661.972602739726,146,321,36.6986301369863,0,0.0,0,0.0,1,18,34
